[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1201241390.953000 1/25/2008, 3:09:50 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 67

INFO, NAME, Pr(Ru0.90Rh0.10)4P12
INFO, WEIGHT, 275.200
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, Sample lot No.2
INFO, SEQUENCE FILE: Rh_doped.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1201252285.031,,1.000000e+003,1.691619e+002,2.116561e-003,4.614751e-007,3,9.831440e-001,2.180306e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.257935e-001,0.000000e+000,0,,0,
1201252488.468,,1.000000e+003,1.731273e+002,2.070810e-003,2.248929e-007,3,9.832721e-001,1.086015e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.728973e-001,0.000000e+000,0,,0,
1201252694.000,,1.000000e+003,1.771023e+002,2.027448e-003,1.392822e-007,3,9.833026e-001,6.869827e-003,,,,,,,,,,,,,,32,2,4.000000e+000,1.865997e-001,0.000000e+000,0,,0,
1201252897.296,,1.000000e+003,1.810930e+002,1.986335e-003,4.423773e-007,3,9.832816e-001,2.227103e-002,,,,,,,,,,,,,,32,2,4.000000e+000,9.719849e-002,0.000000e+000,0,,0,
1201253102.062,,1.000000e+003,1.850632e+002,1.946511e-003,4.062396e-007,3,9.833871e-001,2.087014e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.820984e-001,0.000000e+000,0,,0,
1201253306.046,,1.000000e+003,1.890312e+002,1.907400e-003,4.908626e-007,3,9.836445e-001,2.573464e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.683044e-001,0.000000e+000,0,,0,
1201253511.265,,1.000000e+003,1.929861e+002,1.870169e-003,3.737240e-007,3,9.837461e-001,1.998344e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.748962e-001,0.000000e+000,0,,0,
1201253714.015,,1.000000e+003,1.969854e+002,1.834678e-003,4.846888e-007,3,9.837716e-001,2.641819e-002,,,,,,,,,,,,,,32,2,4.000000e+000,2.117920e-001,0.000000e+000,0,,0,
1201253920.328,,1.000000e+003,2.009365e+002,1.800539e-003,3.873065e-007,3,9.838924e-001,2.151059e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.728058e-001,0.000000e+000,0,,0,
1201254125.687,,1.000000e+003,2.049191e+002,1.766928e-003,4.907803e-007,3,9.840764e-001,2.777591e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.627960e-001,0.000000e+000,0,,0,
1201254329.734,,1.000000e+003,2.089457e+002,1.734251e-003,5.049390e-007,3,9.841464e-001,2.911569e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.520996e-001,0.000000e+000,0,,0,
1201254533.843,,1.000000e+003,2.128823e+002,1.703463e-003,5.553177e-007,3,9.841005e-001,3.259934e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.576996e-001,0.000000e+000,0,,0,
1201254738.578,,1.000000e+003,2.168546e+002,1.673797e-003,3.158544e-007,3,9.840810e-001,1.887053e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.905975e-001,0.000000e+000,0,,0,
1201254947.312,,1.000000e+003,2.207999e+002,1.644704e-003,3.587421e-007,3,9.843009e-001,2.181196e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.596985e-001,0.000000e+000,0,,0,
1201255153.375,,1.000000e+003,2.248001e+002,1.616262e-003,4.315113e-007,3,9.843641e-001,2.669810e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.457977e-001,0.000000e+000,0,,0,
1201255360.328,,1.000000e+003,2.287581e+002,1.589394e-003,4.917681e-007,3,9.841990e-001,3.094060e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.609039e-001,0.000000e+000,0,,0,
1201255566.359,,1.000000e+003,2.327428e+002,1.563315e-003,4.048403e-007,3,9.841462e-001,2.589627e-002,,,,,,,,,,,,,,32,2,4.000000e+000,2.182007e-001,0.000000e+000,0,,0,
1201255772.734,,1.000000e+003,2.367196e+002,1.537588e-003,3.169245e-007,3,9.843342e-001,2.061180e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.611938e-001,0.000000e+000,0,,0,
1201255977.500,,1.000000e+003,2.406805e+002,1.512513e-003,3.958676e-007,3,9.844716e-001,2.617283e-002,,,,,,,,,,,,,,32,2,4.000000e+000,2.330933e-001,0.000000e+000,0,,0,
1201256181.921,,1.000000e+003,2.446722e+002,1.488839e-003,4.786795e-007,3,9.843440e-001,3.215119e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.833038e-001,0.000000e+000,0,,0,
1201256386.640,,1.000000e+003,2.486470e+002,1.465929e-003,4.773624e-007,3,9.844224e-001,3.256382e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.419067e-001,0.000000e+000,0,,0,
